Dataset,Metric,Best_Value,Winning_Methods,Num_Winners
nhanes,ROC_AUC,0.9605,GaussianCopula,1
nhanes,separability(1-N3),0.9279,K-IPO,1
online-shoppers-purchasing-intention,Accuracy,0.9524,TabDDPM,1
online-shoppers-purchasing-intention,BalancedAcc,0.9495,TabDDPM,1
online-shoppers-purchasing-intention,F1,0.9436,TabDDPM,1
online-shoppers-purchasing-intention,HarmonicMean_PI,0.7119,K-IPO,1
online-shoppers-purchasing-intention,Interpretability,0.5682,K-IPO,1
online-shoppers-purchasing-intention,kendall_tau,0.8493,K-IPO,1
online-shoppers-purchasing-intention,MCC,0.9030,TabDDPM,1
online-shoppers-purchasing-intention,PR_AUC,0.9853,TabDDPM,1
online-shoppers-purchasing-intention,Precision,0.9593,TabDDPM,1
online-shoppers-purchasing-intention,PredictiveScore,0.9689,TabDDPM,1
online-shoppers-purchasing-intention,Recall,0.9471,K-IPO,1
online-shoppers-purchasing-intention,ROC_AUC,0.9848,TabDDPM,1
online-shoppers-purchasing-intention,separability(1-N3),0.9319,K-IPO,1
pen-digits,Accuracy,1.0000,K-IPO,1
pen-digits,BalancedAcc,1.0000,K-IPO,1
pen-digits,F1,1.0000,K-IPO,1
pen-digits,HarmonicMean_PI,0.7903,K-IPO,1
pen-digits,Interpretability,0.6534,K-IPO,1
pen-digits,kendall_tau,0.9350,K-IPO,1
pen-digits,MCC,0.9999,K-IPO,1
pen-digits,PR_AUC,1.0000,"K-IPO, SMOTE",2
pen-digits,Precision,1.0000,K-IPO,1
pen-digits,PredictiveScore,1.0000,"K-IPO, SMOTE",2
pen-digits,Recall,0.9999,"K-IPO, SMOTE",2
pen-digits,ROC_AUC,1.0000,"K-IPO, SMOTE",2
pen-digits,separability(1-N3),0.9993,SMOTE,1
rl,Accuracy,0.9493,K-IPO,1
rl,BalancedAcc,0.9467,K-IPO,1
rl,F1,0.9400,K-IPO,1
rl,HarmonicMean_PI,0.8467,TabDDPM,1
rl,Interpretability,0.7743,TabDDPM,1
rl,kendall_tau,0.8364,K-IPO,1
rl,MCC,0.8965,K-IPO,1
rl,PR_AUC,0.9803,K-IPO,1
rl,Precision,0.9632,TabDDPM,1
rl,PredictiveScore,0.9648,K-IPO,1
rl,Recall,0.9285,K-IPO,1
rl,ROC_AUC,0.9789,K-IPO,1
rl,separability(1-N3),0.9082,K-IPO,1
seismic-bumps,Accuracy,0.9604,TabDDPM,1
seismic-bumps,BalancedAcc,0.9540,TabDDPM,1
seismic-bumps,F1,0.9517,TabDDPM,1
seismic-bumps,HarmonicMean_PI,0.8374,K-IPO,1
seismic-bumps,Interpretability,0.7667,K-IPO,1
seismic-bumps,kendall_tau,0.8400,K-IPO,1
seismic-bumps,MCC,0.9213,TabDDPM,1
seismic-bumps,PR_AUC,0.9771,CTGAN,1
seismic-bumps,Precision,0.9991,TabDDPM,1
seismic-bumps,PredictiveScore,0.9688,TabDDPM,1
seismic-bumps,Recall,0.9146,CTGAN,1
seismic-bumps,ROC_AUC,0.9740,CTGAN,1
seismic-bumps,separability(1-N3),0.9294,TabDDPM,1
ur3-cobot-ops,Accuracy,0.9602,CTGAN,1
ur3-cobot-ops,BalancedAcc,0.9572,CTGAN,1
ur3-cobot-ops,F1,0.9527,CTGAN,1
ur3-cobot-ops,HarmonicMean_PI,0.7646,TVAE,1
ur3-cobot-ops,Interpretability,0.6377,TabDDPM,1
ur3-cobot-ops,kendall_tau,0.8105,K-IPO,1
ur3-cobot-ops,MCC,0.9188,CTGAN,1
ur3-cobot-ops,PR_AUC,0.9881,CTGAN,1
ur3-cobot-ops,Precision,0.9696,CTGAN,1
ur3-cobot-ops,PredictiveScore,0.9742,CTGAN,1
ur3-cobot-ops,Recall,0.9491,K-IPO,1
ur3-cobot-ops,ROC_AUC,0.9882,GaussianCopula,1
ur3-cobot-ops,separability(1-N3),0.9547,K-IPO,1
wilt,Accuracy,0.9911,K-IPO,1
wilt,BalancedAcc,0.9918,K-IPO,1
wilt,F1,0.9898,K-IPO,1
wilt,HarmonicMean_PI,0.7867,K-IPO,1
wilt,Interpretability,0.6508,"CTGAN, K-IPO, SMOTE",3
wilt,kendall_tau,1.0000,"CTGAN, GaussianCopula, K-IPO, SMOTE",4
wilt,MCC,0.9821,K-IPO,1
wilt,PR_AUC,0.9978,K-IPO,1
wilt,Precision,0.9832,K-IPO,1
wilt,PredictiveScore,0.9945,K-IPO,1
wilt,Recall,0.9964,K-IPO,1
wilt,ROC_AUC,0.9987,K-IPO,1
wilt,separability(1-N3),0.9953,"CTGAN, SMOTE",2
