Dataset,Method,File,Accuracy,BalancedAcc,F1,HarmonicMean_PI,Interpretability,kendall_tau,MCC,PR_AUC,Precision,PredictiveScore,Recall,ROC_AUC,separability(1-N3)
ai4i2020,TabDDPM,TabDDPM.csv,0.8767 ± 0.0440,0.8730 ± 0.0420,0.8558 ± 0.0482,0.8368 ± 0.0453,0.7810 ± 0.0751,0.4667 ± 0.2266,0.7492 ± 0.0888,0.9352 ± 0.0343,0.8663 ± 0.0696,0.9060 ± 0.0390,0.8469 ± 0.0296,0.9390 ± 0.0285,0.8330 ± 0.0549
ai4i2020,TVAE,TVAE.csv,0.9444 ± 0.0045,0.9458 ± 0.0044,0.9365 ± 0.0050,0.7900 ± 0.0505,0.6730 ± 0.0778,0.4400 ± 0.0562,0.8877 ± 0.0090,0.9812 ± 0.0021,0.9179 ± 0.0067,0.9628 ± 0.0032,0.9559 ± 0.0054,0.9866 ± 0.0016,0.9125 ± 0.0042
airlines,CTGAN,CTGAN.csv,0.7935 ± 0.0147,0.7904 ± 0.0132,0.7616 ± 0.0136,0.8142 ± 0.0213,0.8114 ± 0.0481,0.4857 ± 0.1118,0.5799 ± 0.0280,0.8443 ± 0.0203,0.7555 ± 0.0242,0.8189 ± 0.0173,0.7684 ± 0.0104,0.8566 ± 0.0147,0.6932 ± 0.0208
airlines,GaussianCopula,GaussianCopula.csv,0.7694 ± 0.0000,0.7688 ± 0.0000,0.7427 ± 0.0000,0.7817 ± 0.0000,0.7714 ± 0.0000,0.7143 ± 0.0000,0.5352 ± 0.0000,0.8151 ± 0.0000,0.7228 ± 0.0000,0.7923 ± 0.0000,0.7643 ± 0.0000,0.8372 ± 0.0000,0.6627 ± 0.0000
airlines,K-IPO,K-IPO.csv,0.8132 ± 0.0094,0.8113 ± 0.0093,0.7877 ± 0.0113,0.7976 ± 0.0150,0.7705 ± 0.0240,0.9524 ± 0.0502,0.6219 ± 0.0188,0.8410 ± 0.0131,0.7789 ± 0.0147,0.8271 ± 0.0111,0.7980 ± 0.0169,0.8744 ± 0.0093,0.8253 ± 0.0138
airlines,SMOTE,SMOTENC.csv,0.7972 ± 0.0055,0.7964 ± 0.0039,0.7706 ± 0.0032,0.7771 ± 0.0155,0.7467 ± 0.0281,0.7143 ± 0.0449,0.5900 ± 0.0090,0.8240 ± 0.0034,0.7520 ± 0.0124,0.8106 ± 0.0040,0.7906 ± 0.0093,0.8621 ± 0.0025,0.8025 ± 0.0031
airlines,TabDDPM,TabDDPM.csv,0.9413 ± 0.0002,0.9315 ± 0.0002,0.9264 ± 0.0002,0.8280 ± 0.0239,0.7352 ± 0.0378,-0.2857 ± 0.1634,0.8845 ± 0.0004,0.9564 ± 0.0006,0.9996 ± 0.0006,0.9488 ± 0.0004,0.8633 ± 0.0004,0.9459 ± 0.0010,0.9022 ± 0.0008
airlines,TVAE,TVAE.csv,0.8420 ± 0.0042,0.8381 ± 0.0042,0.8158 ± 0.0052,0.7558 ± 0.0180,0.6705 ± 0.0295,0.4381 ± 0.1821,0.6783 ± 0.0086,0.8919 ± 0.0051,0.8220 ± 0.0081,0.8670 ± 0.0038,0.8109 ± 0.0086,0.9016 ± 0.0035,0.7934 ± 0.0041
bank-customer-churn-prediction,CTGAN,CTGAN.csv,0.9190 ± 0.0103,0.9130 ± 0.0104,0.9022 ± 0.0124,0.5996 ± 0.0408,0.4417 ± 0.0440,0.1200 ± 0.3479,0.8350 ± 0.0213,0.9593 ± 0.0081,0.9361 ± 0.0166,0.9391 ± 0.0091,0.8711 ± 0.0150,0.9589 ± 0.0075,0.7877 ± 0.0278
bank-customer-churn-prediction,GaussianCopula,GaussianCopula.csv,0.9334 ± 0.0000,0.9286 ± 0.0000,0.9203 ± 0.0000,0.6954 ± 0.0000,0.5476 ± 0.0000,0.4667 ± 0.0000,0.8643 ± 0.0000,0.9715 ± 0.0000,0.9473 ± 0.0000,0.9525 ± 0.0000,0.8949 ± 0.0000,0.9718 ± 0.0000,0.7904 ± 0.0000
bank-customer-churn-prediction,K-IPO,K-IPO.csv,0.9166 ± 0.0081,0.9165 ± 0.0072,0.9044 ± 0.0084,0.6978 ± 0.0145,0.5559 ± 0.0195,0.9511 ± 0.0532,0.8312 ± 0.0157,0.9588 ± 0.0049,0.8938 ± 0.0169,0.9377 ± 0.0064,0.9158 ± 0.0084,0.9677 ± 0.0029,0.9139 ± 0.0060
bank-customer-churn-prediction,SMOTE,SMOTENC.csv,0.8984 ± 0.0042,0.8991 ± 0.0031,0.8843 ± 0.0037,0.6775 ± 0.0258,0.5357 ± 0.0317,0.7689 ± 0.0459,0.7947 ± 0.0076,0.9482 ± 0.0016,0.8655 ± 0.0126,0.9233 ± 0.0026,0.9043 ± 0.0075,0.9602 ± 0.0017,0.9039 ± 0.0027
bank-customer-churn-prediction,TabDDPM,TabDDPM.csv,0.9548 ± 0.0013,0.9493 ± 0.0015,0.9453 ± 0.0017,0.6866 ± 0.0339,0.5333 ± 0.0411,-0.1467 ± 0.2341,0.9088 ± 0.0027,0.9790 ± 0.0005,0.9825 ± 0.0050,0.9669 ± 0.0008,0.9109 ± 0.0051,0.9766 ± 0.0006,0.9216 ± 0.0017
bank-customer-churn-prediction,TVAE,TVAE.csv,0.9279 ± 0.0032,0.9257 ± 0.0030,0.9163 ± 0.0033,0.6348 ± 0.0360,0.4798 ± 0.0416,0.4533 ± 0.1222,0.8543 ± 0.0059,0.9561 ± 0.0024,0.9241 ± 0.0059,0.9420 ± 0.0027,0.9103 ± 0.0056,0.9649 ± 0.0014,0.8404 ± 0.0058
bank-marketing,CTGAN,CTGAN.csv,0.9140 ± 0.0074,0.9095 ± 0.0064,0.8975 ± 0.0079,0.6359 ± 0.0293,0.4809 ± 0.0322,0.3083 ± 0.1028,0.8248 ± 0.0153,0.9668 ± 0.0047,0.9193 ± 0.0230,0.9404 ± 0.0058,0.8776 ± 0.0156,0.9683 ± 0.0049,0.8083 ± 0.0370
bank-marketing,GaussianCopula,GaussianCopula.csv,0.9121 ± 0.0000,0.9073 ± 0.0000,0.8957 ± 0.0000,0.6233 ± 0.0000,0.4667 ± 0.0000,0.7667 ± 0.0000,0.8219 ± 0.0000,0.9643 ± 0.0000,0.9207 ± 0.0000,0.9382 ± 0.0000,0.8740 ± 0.0000,0.9687 ± 0.0000,0.7796 ± 0.0000
bank-marketing,K-IPO,K-IPO.csv,0.9189 ± 0.0052,0.9166 ± 0.0048,0.9051 ± 0.0056,0.6307 ± 0.0204,0.4753 ± 0.0239,0.8400 ± 0.0238,0.8349 ± 0.0105,0.9590 ± 0.0033,0.9110 ± 0.0159,0.9390 ± 0.0039,0.9000 ± 0.0137,0.9692 ± 0.0015,0.9069 ± 0.0022
