Dataset,Method,File,Accuracy,BalancedAcc,F1,HarmonicMean_PI,Interpretability,kendall_tau,MCC,PR_AUC,Precision,PredictiveScore,Recall,ROC_AUC,separability(1-N3)
magic-gamma-telescope,SMOTE,SMOTEWB.csv,0.9380 ± 0.0088,0.9363 ± 0.0088,0.9274 ± 0.0102,0.6512 ± 0.0319,0.4940 ± 0.0369,0.9689 ± 0.0366,0.8735 ± 0.0179,0.9783 ± 0.0038,0.9309 ± 0.0134,0.9582 ± 0.0063,0.9241 ± 0.0104,0.9805 ± 0.0031,0.9506 ± 0.0068
magic-gamma-telescope,TabDDPM,TabDDPM.csv,0.8226 ± 0.1268,0.8169 ± 0.1286,0.7905 ± 0.1483,0.6666 ± 0.0705,0.5536 ± 0.0470,0.7511 ± 0.0843,0.6374 ± 0.2593,0.8676 ± 0.1398,0.8054 ± 0.1561,0.8451 ± 0.1333,0.7767 ± 0.1410,0.8741 ± 0.1311,0.7643 ± 0.1213
magic-gamma-telescope,TVAE,TVAE.csv,0.9402 ± 0.0016,0.9383 ± 0.0017,0.9299 ± 0.0019,0.7014 ± 0.0460,0.5547 ± 0.0556,0.9156 ± 0.0328,0.8779 ± 0.0033,0.9783 ± 0.0011,0.9351 ± 0.0060,0.9592 ± 0.0013,0.9250 ± 0.0061,0.9797 ± 0.0010,0.8603 ± 0.0041
mammography,CTGAN,CTGAN.csv,0.9820 ± 0.0046,0.9819 ± 0.0049,0.9791 ± 0.0054,0.7176 ± 0.0500,0.5651 ± 0.0609,0.5867 ± 0.2127,0.9634 ± 0.0094,0.9973 ± 0.0013,0.9774 ± 0.0063,0.9896 ± 0.0029,0.9808 ± 0.0084,0.9976 ± 0.0011,0.9696 ± 0.0096
mammography,GaussianCopula,GaussianCopula.csv,0.9814 ± 0.0000,0.9806 ± 0.0000,0.9782 ± 0.0000,0.6133 ± 0.0000,0.4444 ± 0.0000,0.6000 ± 0.0000,0.9619 ± 0.0000,0.9968 ± 0.0000,0.9808 ± 0.0000,0.9891 ± 0.0000,0.9756 ± 0.0000,0.9973 ± 0.0000,0.9617 ± 0.0000
mammography,K-IPO,K-IPO.csv,0.9862 ± 0.0009,0.9873 ± 0.0009,0.9842 ± 0.0010,0.7630 ± 0.0086,0.6206 ± 0.0117,1.0000 ± 0.0000,0.9723 ± 0.0018,0.9948 ± 0.0003,0.9741 ± 0.0022,0.9905 ± 0.0005,0.9947 ± 0.0026,0.9970 ± 0.0002,0.9947 ± 0.0001
mammography,SMOTE,SMOTEWB.csv,0.9855 ± 0.0007,0.9868 ± 0.0007,0.9835 ± 0.0008,0.7396 ± 0.0178,0.5905 ± 0.0222,0.8667 ± 0.0000,0.9710 ± 0.0014,0.9949 ± 0.0001,0.9713 ± 0.0020,0.9902 ± 0.0004,0.9963 ± 0.0017,0.9970 ± 0.0001,0.9946 ± 0.0000
mammography,TabDDPM,TabDDPM.csv,0.9507 ± 0.0102,0.9481 ± 0.0117,0.9416 ± 0.0128,0.7489 ± 0.0189,0.6127 ± 0.0250,0.4933 ± 0.1968,0.8993 ± 0.0206,0.9772 ± 0.0082,0.9538 ± 0.0057,0.9639 ± 0.0091,0.9300 ± 0.0231,0.9787 ± 0.0066,0.9206 ± 0.0520
mammography,TVAE,TVAE.csv,0.9851 ± 0.0008,0.9857 ± 0.0007,0.9827 ± 0.0009,0.6984 ± 0.0187,0.5397 ± 0.0225,0.7466 ± 0.0422,0.9697 ± 0.0016,0.9958 ± 0.0003,0.9756 ± 0.0027,0.9904 ± 0.0005,0.9900 ± 0.0019,0.9973 ± 0.0002,0.9728 ± 0.0007
nhanes,CTGAN,CTGAN.csv,0.8899 ± 0.0123,0.8830 ± 0.0109,0.8687 ± 0.0120,0.6875 ± 0.0295,0.5547 ± 0.0413,0.2857 ± 0.1918,0.7779 ± 0.0239,0.9248 ± 0.0102,0.9088 ± 0.0247,0.9074 ± 0.0111,0.8344 ± 0.0144,0.9253 ± 0.0097,0.7915 ± 0.0268
nhanes,GaussianCopula,GaussianCopula.csv,0.9366 ± 0.0000,0.9304 ± 0.0000,0.9232 ± 0.0000,0.6855 ± 0.0000,0.5357 ± 0.0000,0.9048 ± 0.0000,0.8726 ± 0.0000,0.9663 ± 0.0000,0.9644 ± 0.0000,0.9515 ± 0.0000,0.8870 ± 0.0000,0.9605 ± 0.0000,0.8647 ± 0.0000
nhanes,K-IPO,K-IPO.csv,0.9022 ± 0.0080,0.9030 ± 0.0060,0.8909 ± 0.0065,0.8231 ± 0.0124,0.7500 ± 0.0202,0.9714 ± 0.0460,0.8052 ± 0.0142,0.9223 ± 0.0083,0.8771 ± 0.0243,0.9123 ± 0.0077,0.9083 ± 0.0217,0.9395 ± 0.0057,0.9279 ± 0.0042
nhanes,SMOTE,SMOTEWB.csv,0.8804 ± 0.0095,0.8776 ± 0.0095,0.8615 ± 0.0108,0.7981 ± 0.0222,0.7226 ± 0.0313,0.7238 ± 0.0301,0.7582 ± 0.0181,0.9031 ± 0.0065,0.8677 ± 0.0189,0.8918 ± 0.0079,0.8580 ± 0.0289,0.9231 ± 0.0072,0.9279 ± 0.0045
nhanes,TabDDPM,TabDDPM.csv,0.7387 ± 0.0142,0.7353 ± 0.0167,0.6997 ± 0.0228,0.7276 ± 0.0214,0.6976 ± 0.0347,0.5428 ± 0.1405,0.4703 ± 0.0314,0.7837 ± 0.0213,0.6905 ± 0.0165,0.7612 ± 0.0177,0.7117 ± 0.0444,0.8026 ± 0.0184,0.6413 ± 0.0124
nhanes,TVAE,TVAE.csv,0.8597 ± 0.0077,0.8554 ± 0.0077,0.8393 ± 0.0085,0.6146 ± 0.0391,0.4774 ± 0.0467,0.6190 ± 0.0000,0.7188 ± 0.0148,0.8737 ± 0.0113,0.8594 ± 0.0106,0.8667 ± 0.0086,0.8250 ± 0.0151,0.9012 ± 0.0073,0.6988 ± 0.0124
online-shoppers-purchasing-intention,CTGAN,CTGAN.csv,0.9462 ± 0.0033,0.9432 ± 0.0031,0.9363 ± 0.0037,0.5167 ± 0.0563,0.3548 ± 0.0545,0.4177 ± 0.2129,0.8902 ± 0.0069,0.9836 ± 0.0017,0.9512 ± 0.0097,0.9649 ± 0.0025,0.9220 ± 0.0068,0.9841 ± 0.0016,0.8550 ± 0.0197
online-shoppers-purchasing-intention,GaussianCopula,GaussianCopula.csv,0.9368 ± 0.0000,0.9332 ± 0.0000,0.9250 ± 0.0000,0.6289 ± 0.0000,0.4683 ± 0.0000,0.4853 ± 0.0000,0.8709 ± 0.0000,0.9774 ± 0.0000,0.9423 ± 0.0000,0.9571 ± 0.0000,0.9084 ± 0.0000,0.9787 ± 0.0000,0.8151 ± 0.0000
online-shoppers-purchasing-intention,K-IPO,K-IPO.csv,0.9403 ± 0.0017,0.9411 ± 0.0022,0.9315 ± 0.0023,0.7119 ± 0.0325,0.5682 ± 0.0412,0.8493 ± 0.0388,0.8791 ± 0.0038,0.9712 ± 0.0021,0.9167 ± 0.0034,0.9558 ± 0.0018,0.9471 ± 0.0067,0.9809 ± 0.0013,0.9319 ± 0.0037
online-shoppers-purchasing-intention,SMOTE,SMOTENC.csv,0.9346 ± 0.0028,0.9360 ± 0.0028,0.9254 ± 0.0030,0.6839 ± 0.0357,0.5349 ± 0.0443,0.6822 ± 0.0408,0.8681 ± 0.0055,0.9687 ± 0.0019,0.9065 ± 0.0086,0.9516 ± 0.0020,0.9455 ± 0.0085,0.9795 ± 0.0013,0.9245 ± 0.0025
online-shoppers-purchasing-intention,TabDDPM,TabDDPM.csv,0.9524 ± 0.0012,0.9495 ± 0.0007,0.9436 ± 0.0010,0.6548 ± 0.0954,0.5016 ± 0.1058,0.2956 ± 0.0910,0.9030 ± 0.0025,0.9853 ± 0.0004,0.9593 ± 0.0095,0.9689 ± 0.0006,0.9287 ± 0.0077,0.9848 ± 0.0005,0.9158 ± 0.0017
online-shoppers-purchasing-intention,TVAE,TVAE.csv,0.9424 ± 0.0009,0.9395 ± 0.0006,0.9319 ± 0.0008,0.5783 ± 0.0282,0.4143 ± 0.0282,-0.0073 ± 0.0915,0.8824 ± 0.0018,0.9783 ± 0.0009,0.9445 ± 0.0060,0.9603 ± 0.0008,0.9200 ± 0.0050,0.9806 ± 0.0006,0.9088 ± 0.0038
pen-digits,CTGAN,CTGAN.csv,0.9978 ± 0.0003,0.9977 ± 0.0004,0.9975 ± 0.0004,0.7740 ± 0.0235,0.6323 ± 0.0311,0.4083 ± 0.1550,0.9956 ± 0.0007,0.9999 ± 0.0001,0.9980 ± 0.0010,0.9988 ± 0.0002,0.9969 ± 0.0011,0.9999 ± 0.0001,0.9928 ± 0.0010
pen-digits,GaussianCopula,GaussianCopula.csv,0.9980 ± 0.0000,0.9981 ± 0.0000,0.9977 ± 0.0000,0.7764 ± 0.0000,0.6349 ± 0.0000,0.6500 ± 0.0000,0.9960 ± 0.0000,0.9999 ± 0.0000,0.9971 ± 0.0000,0.9990 ± 0.0000,0.9983 ± 0.0000,0.9999 ± 0.0000,0.9979 ± 0.0000
pen-digits,K-IPO,K-IPO.csv,1.0000 ± 0.0001,1.0000 ± 0.0001,1.0000 ± 0.0001,0.7903 ± 0.0092,0.6534 ± 0.0128,0.9350 ± 0.0095,0.9999 ± 0.0002,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0001,0.9999 ± 0.0003,1.0000 ± 0.0000,0.9992 ± 0.0001
pen-digits,SMOTE,SMOTEWB.csv,0.9999 ± 0.0001,0.9999 ± 0.0001,0.9999 ± 0.0001,0.7790 ± 0.0065,0.6381 ± 0.0087,0.9050 ± 0.0369,0.9999 ± 0.0002,1.0000 ± 0.0000,1.0000 ± 0.0001,1.0000 ± 0.0001,0.9999 ± 0.0003,1.0000 ± 0.0000,0.9993 ± 0.0001
pen-digits,TabDDPM,TabDDPM.csv,0.9914 ± 0.0010,0.9909 ± 0.0010,0.9899 ± 0.0012,0.7861 ± 0.0237,0.6503 ± 0.0326,0.6817 ± 0.1026,0.9823 ± 0.0021,0.9990 ± 0.0004,0.9920 ± 0.0029,0.9952 ± 0.0006,0.9878 ± 0.0020,0.9990 ± 0.0006,0.9806 ± 0.0021
pen-digits,TVAE,TVAE.csv,0.9980 ± 0.0005,0.9979 ± 0.0006,0.9976 ± 0.0006,0.7842 ± 0.0083,0.6455 ± 0.0112,0.9083 ± 0.0226,0.9959 ± 0.0011,0.9999 ± 0.0001,0.9977 ± 0.0009,0.9989 ± 0.0003,0.9976 ± 0.0010,0.9999 ± 0.0002,0.9963 ± 0.0005
rl,CTGAN,CTGAN.csv,0.9335 ± 0.0085,0.9273 ± 0.0080,0.9193 ± 0.0098,0.8070 ± 0.0401,0.7043 ± 0.0639,0.4515 ± 0.1542,0.8650 ± 0.0178,0.9639 ± 0.0034,0.9576 ± 0.0201,0.9487 ± 0.0058,0.8843 ± 0.0121,0.9588 ± 0.0038,0.8006 ± 0.0208
rl,GaussianCopula,GaussianCopula.csv,0.9100 ± 0.0000,0.9065 ± 0.0000,0.8941 ± 0.0000,0.8361 ± 0.0000,0.7571 ± 0.0000,0.5758 ± 0.0000,0.8162 ± 0.0000,0.9570 ± 0.0000,0.9078 ± 0.0000,0.9335 ± 0.0000,0.8808 ± 0.0000,0.9547 ± 0.0000,0.7427 ± 0.0000
rl,K-IPO,K-IPO.csv,0.9493 ± 0.0041,0.9467 ± 0.0041,0.9400 ± 0.0047,0.7915 ± 0.0182,0.6714 ± 0.0270,0.8364 ± 0.0256,0.8965 ± 0.0083,0.9803 ± 0.0023,0.9520 ± 0.0114,0.9648 ± 0.0028,0.9285 ± 0.0106,0.9789 ± 0.0031,0.9082 ± 0.0028
rl,SMOTE,SMOTENC.csv,0.9365 ± 0.0071,0.9346 ± 0.0061,0.9256 ± 0.0075,0.7568 ± 0.0389,0.6285 ± 0.0530,0.3303 ± 0.0390,0.8708 ± 0.0141,0.9731 ± 0.0034,0.9302 ± 0.0250,0.9548 ± 0.0047,0.9218 ± 0.0184,0.9760 ± 0.0026,0.8840 ± 0.0026
rl,TabDDPM,TabDDPM.csv,0.9217 ± 0.0251,0.9126 ± 0.0267,0.9026 ± 0.0320,0.8467 ± 0.0340,0.7743 ± 0.0598,0.3606 ± 0.1233,0.8425 ± 0.0514,0.9531 ± 0.0157,0.9632 ± 0.0290,0.9374 ± 0.0203,0.8497 ± 0.0400,0.9478 ± 0.0173,0.8613 ± 0.0452
rl,TVAE,TVAE.csv,0.9129 ± 0.0108,0.9076 ± 0.0104,0.8954 ± 0.0123,0.5930 ± 0.0382,0.4357 ± 0.0422,-0.0697 ± 0.0249,0.8223 ± 0.0225,0.9536 ± 0.0036,0.9227 ± 0.0232,0.9333 ± 0.0071,0.8701 ± 0.0154,0.9510 ± 0.0027,0.8170 ± 0.0126
seismic-bumps,CTGAN,CTGAN.csv,0.9574 ± 0.0016,0.9521 ± 0.0016,0.9485 ± 0.0019,0.8255 ± 0.0188,0.7205 ± 0.0287,0.3752 ± 0.1253,0.9141 ± 0.0034,0.9771 ± 0.0009,0.9851 ± 0.0033,0.9672 ± 0.0012,0.9146 ± 0.0026,0.9740 ± 0.0014,0.8677 ± 0.0111
seismic-bumps,GaussianCopula,GaussianCopula.csv,0.9438 ± 0.0000,0.9383 ± 0.0000,0.9320 ± 0.0000,0.8210 ± 0.0000,0.7190 ± 0.0000,0.6190 ± 0.0000,0.8859 ± 0.0000,0.9698 ± 0.0000,0.9664 ± 0.0000,0.9568 ± 0.0000,0.9000 ± 0.0000,0.9649 ± 0.0000,0.8405 ± 0.0000
seismic-bumps,K-IPO,K-IPO.csv,0.9047 ± 0.0070,0.9046 ± 0.0061,0.8909 ± 0.0073,0.8374 ± 0.0059,0.7667 ± 0.0087,0.8400 ± 0.0339,0.8073 ± 0.0135,0.9407 ± 0.0074,0.8789 ± 0.0195,0.9227 ± 0.0066,0.9040 ± 0.0155,0.9581 ± 0.0035,0.9069 ± 0.0057
seismic-bumps,SMOTE,SMOTENC.csv,0.8878 ± 0.0046,0.8904 ± 0.0040,0.8745 ± 0.0048,0.8200 ± 0.0115,0.7510 ± 0.0194,0.7257 ± 0.0326,0.7759 ± 0.0088,0.9191 ± 0.0049,0.8437 ± 0.0163,0.9035 ± 0.0037,0.9088 ± 0.0165,0.9483 ± 0.0032,0.8922 ± 0.0049
seismic-bumps,TabDDPM,TabDDPM.csv,0.9604 ± 0.0021,0.9540 ± 0.0025,0.9517 ± 0.0028,0.8243 ± 0.0229,0.7181 ± 0.0359,0.0248 ± 0.0739,0.9213 ± 0.0041,0.9771 ± 0.0017,0.9991 ± 0.0016,0.9688 ± 0.0017,0.9086 ± 0.0053,0.9728 ± 0.0025,0.9294 ± 0.0016
seismic-bumps,TVAE,TVAE.csv,0.9447 ± 0.0034,0.9394 ± 0.0040,0.9334 ± 0.0044,0.7985 ± 0.0176,0.6843 ± 0.0260,0.2152 ± 0.0465,0.8880 ± 0.0068,0.9737 ± 0.0019,0.9669 ± 0.0071,0.9592 ± 0.0026,0.9026 ± 0.0107,0.9714 ± 0.0019,0.8708 ± 0.0039
ur3-cobot-ops,CTGAN,CTGAN.csv,0.9602 ± 0.0015,0.9572 ± 0.0013,0.9527 ± 0.0017,0.7283 ± 0.0136,0.5817 ± 0.0174,0.0211 ± 0.0802,0.9188 ± 0.0033,0.9881 ± 0.0003,0.9696 ± 0.0065,0.9742 ± 0.0009,0.9366 ± 0.0044,0.9881 ± 0.0006,0.9374 ± 0.0032
ur3-cobot-ops,GaussianCopula,GaussianCopula.csv,0.9593 ± 0.0000,0.9568 ± 0.0000,0.9519 ± 0.0000,0.7628 ± 0.0000,0.6270 ± 0.0000,0.5474 ± 0.0000,0.9168 ± 0.0000,0.9878 ± 0.0000,0.9644 ± 0.0000,0.9736 ± 0.0000,0.9397 ± 0.0000,0.9882 ± 0.0000,0.9031 ± 0.0000
ur3-cobot-ops,K-IPO,K-IPO.csv,0.9487 ± 0.0060,0.9488 ± 0.0067,0.9412 ± 0.0072,0.7533 ± 0.0081,0.6190 ± 0.0109,0.8105 ± 0.0489,0.8962 ± 0.0125,0.9752 ± 0.0021,0.9339 ± 0.0048,0.9620 ± 0.0027,0.9491 ± 0.0121,0.9833 ± 0.0012,0.9547 ± 0.0111
ur3-cobot-ops,SMOTE,SMOTEWB.csv,0.9377 ± 0.0023,0.9376 ± 0.0024,0.9284 ± 0.0028,0.7349 ± 0.0055,0.5972 ± 0.0073,0.7274 ± 0.0376,0.8737 ± 0.0049,0.9726 ± 0.0013,0.9199 ± 0.0058,0.9552 ± 0.0013,0.9376 ± 0.0066,0.9806 ± 0.0010,0.9402 ± 0.0021
ur3-cobot-ops,TabDDPM,TabDDPM.csv,0.9209 ± 0.0038,0.9181 ± 0.0041,0.9067 ± 0.0047,0.7613 ± 0.0090,0.6377 ± 0.0123,-0.0716 ± 0.1492,0.8387 ± 0.0075,0.9678 ± 0.0024,0.9162 ± 0.0076,0.9443 ± 0.0031,0.8981 ± 0.0096,0.9685 ± 0.0026,0.8686 ± 0.0103
ur3-cobot-ops,TVAE,TVAE.csv,0.9475 ± 0.0018,0.9455 ± 0.0014,0.9385 ± 0.0019,0.7646 ± 0.0079,0.6329 ± 0.0111,0.3968 ± 0.0884,0.8930 ± 0.0037,0.9836 ± 0.0004,0.9458 ± 0.0074,0.9656 ± 0.0010,0.9314 ± 0.0050,0.9849 ± 0.0004,0.9106 ± 0.0026
wilt,CTGAN,CTGAN.csv,0.9902 ± 0.0000,0.9908 ± 0.0001,0.9887 ± 0.0000,0.7865 ± 0.0001,0.6508 ± 0.0000,1.0000 ± 0.0000,0.9802 ± 0.0000,0.9975 ± 0.0003,0.9830 ± 0.0009,0.9938 ± 0.0002,0.9945 ± 0.0009,0.9985 ± 0.0001,0.9953 ± 0.0000
wilt,GaussianCopula,GaussianCopula.csv,0.9649 ± 0.0000,0.9648 ± 0.0000,0.9592 ± 0.0000,0.7699 ± 0.0000,0.6349 ± 0.0000,1.0000 ± 0.0000,0.9287 ± 0.0000,0.9907 ± 0.0000,0.9543 ± 0.0000,0.9778 ± 0.0000,0.9645 ± 0.0000,0.9926 ± 0.0000,0.9187 ± 0.0000
wilt,K-IPO,K-IPO.csv,0.9911 ± 0.0010,0.9918 ± 0.0011,0.9898 ± 0.0012,0.7867 ± 0.0002,0.6508 ± 0.0000,1.0000 ± 0.0000,0.9821 ± 0.0021,0.9978 ± 0.0005,0.9832 ± 0.0009,0.9945 ± 0.0007,0.9964 ± 0.0019,0.9987 ± 0.0002,0.9950 ± 0.0003
wilt,SMOTE,SMOTEWB.csv,0.9899 ± 0.0003,0.9905 ± 0.0003,0.9884 ± 0.0004,0.7865 ± 0.0001,0.6508 ± 0.0000,1.0000 ± 0.0000,0.9796 ± 0.0006,0.9977 ± 0.0005,0.9823 ± 0.0007,0.9938 ± 0.0003,0.9945 ± 0.0000,0.9985 ± 0.0002,0.9953 ± 0.0000
wilt,TabDDPM,TabDDPM.csv,0.9757 ± 0.0018,0.9767 ± 0.0019,0.9720 ± 0.0021,0.7697 ± 0.0092,0.6317 ± 0.0125,0.5000 ± 0.2539,0.9509 ± 0.0037,0.9945 ± 0.0009,0.9608 ± 0.0059,0.9851 ± 0.0013,0.9836 ± 0.0056,0.9958 ± 0.0008,0.8827 ± 0.0325
wilt,TVAE,TVAE.csv,0.9396 ± 0.0088,0.9376 ± 0.0085,0.9292 ± 0.0100,0.7527 ± 0.0018,0.6190 ± 0.0000,0.9800 ± 0.0632,0.8769 ± 0.0178,0.9804 ± 0.0031,0.9349 ± 0.0170,0.9600 ± 0.0058,0.9239 ± 0.0111,0.9832 ± 0.0025,0.8810 ± 0.0061
